130,31,251,31,251,63,130,63,NOVELTM
132,56,236,56,236,72,132,72,NUTRIENTS
31,72,271,72,271,99,31,99,INNOUATIVENUTURRL RESERRCH&TECHHOLOGY
7,90,288,90,288,114,7,114,"FSCC22000,GMP KOSHERHHLRLCERIIFIEOCOMPANY"
80,108,217,108,217,130,80,130,NOVELNUTRIENTSPUTLTD
92,126,206,126,206,147,92,147,"ABBIGERE,BANGALORE"
25,140,271,140,271,164,25,164,GSTIN:29AAMFN3642F123PH:080-23445236
207,163,296,163,296,180,207,180,DATE:30/06/22
6,174,85,174,85,194,6,194,BILLNO:10
208,180,292,180,292,196,208,196,TIME:16:56:57
6,199,83,199,83,218,6,218,SRITEM NAME
143,204,173,204,173,219,143,219,RATE
185,205,210,205,210,220,185,220,QTY
259,205,292,205,292,221,259,221,UALUE
16,223,112,223,112,244,16,244,1AFRICANMANGO
136,225,178,225,178,246,136,246,750.00
188,229,209,229,209,246,188,246,1QT
253,229,294,229,294,246,253,246,750.00
15,241,72,241,72,260,15,260,2ARJUNA
137,244,178,244,178,262,137,262,325.00
188,245,208,245,208,263,188,263,1QT
253,246,294,246,294,264,253,264,325.00
17,260,82,260,82,276,17,276,3CREATINE
138,262,178,262,178,276,138,276,625.00
185,260,209,260,209,279,185,279,1QI
252,263,293,263,293,280,252,280,625.00
7,284,95,284,95,301,7,301,ITEN:3/QTY:3
164,285,207,285,207,303,164,303,AHOUNT:
247,287,293,287,293,305,247,305,1700.00
88,307,222,307,222,323,88,323,INCLUSIUEOFALLTRXES
24,328,52,328,52,344,24,344,SXHL
88,328,131,328,131,346,88,346,B.AMT
139,329,168,329,168,345,139,345,SGST
187,329,215,329,215,347,187,347,CGST
250,328,286,328,286,349,250,349,TOTAL
18,353,57,353,57,371,18,371,12.00%
82,353,123,353,123,370,82,370,959.82
134,352,169,352,169,370,134,370,57.59
178,350,216,350,216,372,178,372,57.59
244,354,292,354,292,374,244,374,1075.00
17,369,59,369,59,387,17,387,18.00%
82,369,123,369,123,387,82,387,529.66
135,370,167,370,167,386,135,386,47.67
178,368,215,368,215,388,178,388,47.67
248,371,293,371,293,391,248,391,625.00
1,395,41,395,41,429,1,429,TOTAL
243,396,293,396,293,432,243,432,1700.000
4,436,191,436,191,453,4,453,ONE THOUSANO SEUEN HUNDRED ONLY
88,468,213,468,213,480,88,480,THANK YOU UISIT AGAIN
