405,90,504,90,504,132,405,132,*bhuvan
62,92,404,92,404,182,62,182,wadeshwar
34,183,499,183,499,213,34,213,"FOOD COURT, WESTEND MALL SECTOR-1,"
88,212,445,212,445,241,88,241,"NEAR PARIHAR CHOWK, AUNDH,"
186,243,336,243,336,264,186,264,PUNE-411007
17,302,148,302,148,331,17,331,FOOD BILL
19,359,239,359,239,385,19,385,BILL#:45230
304,362,438,362,438,391,304,391,ORDER #:
505,366,520,366,520,387,505,387,9
18,384,294,384,294,410,18,410,DATE:15/07/22 13:06
20,439,173,439,173,460,20,460,DESCRIPTION
352,442,427,442,427,462,352,462,RATE
422,442,506,442,506,462,422,462,AMOUNT
19,488,201,488,201,508,19,508,FILTER COFEEE
332,489,348,489,348,513,332,513,2
385,488,415,488,415,512,385,512,42
481,488,512,488,512,512,481,512,84
19,512,241,512,241,533,19,533,GHEE MASALA DOSA
332,516,348,516,348,534,332,534,1
370,515,416,515,416,536,370,536,110
467,515,512,515,512,536,467,536,110
16,535,148,535,148,560,16,560,MEDU WADA
330,539,349,539,349,563,330,563,1
387,539,417,539,417,563,387,563,68
482,540,513,540,513,563,482,563,68
16,564,199,564,199,583,16,583,MINERAL WATER
330,565,350,565,350,588,330,588,1
385,565,417,565,417,588,385,588,19
481,566,514,566,514,589,481,589,19
239,615,364,615,364,638,239,638,Sub Total
468,617,514,617,514,642,468,642,281
183,642,341,642,341,663,183,663,CGST（2.58
470,643,516,643,516,668,470,668,7.0
183,668,340,668,340,691,183,691,SGST（2.58
471,670,517,670,517,695,471,695,7.0
146,726,353,726,353,749,146,749,BILL AMOUNT
464,725,523,725,523,754,464,754,295
11,793,184,793,184,817,11,817,KoT Numbers
191,793,214,793,214,815,191,815,9
10,820,524,820,524,846,10,846,THANK YOU FOR RECEIVEING AMOUNT FROM
9,848,58,848,58,873,9,873,ZX
10,876,408,876,408,896,10,896,BY CARD NO. XXXXXXXXXXXXXXX
13,901,99,901,99,922,13,922,OE VIS
12,946,364,946,364,976,12,976,GSTNo.:27CKZPB5192D12T
139,990,377,990,377,1013,139,1013,www.wadeshwar.aom
67,1014,462,1014,462,1042,67,1042,Email-feedbaok@wadeshwar.com
56,1043,471,1043,471,1067,56,1067,"!!! THANK YOU, VISIT AGAIN !!!"
