208,8,274,8,274,34,208,34,Invoice
174,28,309,28,309,54,174,54,Day NightStore
56,46,427,46,427,72,56,72,G-14SuncityBusinessTowerSector54.Go
150,65,329,65,329,90,150,90,CourseRad.122001
119,82,357,82,357,107,119,107,GSTIN:06AAQFD7041J1Z7
185,106,293,106,293,129,185,129,8699969986
12,144,58,144,58,162,12,162,USER
101,142,169,142,169,162,101,162,ReL9528
314,144,445,144,445,167,314,167,Date 24-04-2022
11,167,38,167,38,187,11,187,Bill
105,167,201,167,201,187,105,187,341216559-4
313,169,428,169,428,186,313,186,Time:01:19:38
12,192,77,192,77,212,12,212,KOTNO
100,188,129,188,129,214,100,214,46
9,236,87,236,87,259,9,259,S.No Item
255,241,336,241,336,261,255,261,Qty MR.P
357,242,394,242,394,260,357,260,Rate
414,242,448,242,448,261,414,261,Amt
15,291,24,291,24,301,15,301,1
45,285,226,285,226,303,45,303,BUTTERSCOTCH125ML
263,288,274,288,274,303,263,303,1
308,285,332,285,332,306,308,306,60
369,285,392,285,392,306,369,306,60
434,286,456,286,456,306,434,306,60
17,330,69,330,69,352,17,352,Total
18,355,174,355,174,378,18,378,(withoutdiscount)
289,360,414,360,414,380,289,380,(withdiscount)
20,380,45,380,45,400,20,400,60
288,383,313,383,313,403,288,403,60
145,430,351,430,351,459,145,459,TOTALRS.60
20,478,174,478,174,495,20,495,TOTALUNIQUEQTY
18,498,111,498,111,519,18,519,TOTALQTY
211,500,238,500,238,520,211,520,1
17,526,111,526,111,546,17,546,SUB TOTAL
219,526,272,526,272,547,219,547,Rs.60
18,554,147,554,147,570,18,570,CASHRECEIVED
218,549,272,549,272,574,218,574,Rs.60
21,576,166,576,166,592,21,592,GRANDTOTAL
212,573,285,573,285,593,212,593,:R.60
15,598,83,598,83,618,15,618,REFUND
217,599,236,599,236,616,217,616,0
17,626,65,626,65,644,17,644,SAVE
218,624,260,624,260,642,218,642,Rs.O
17,691,62,691,62,709,17,709,TYPE
207,689,279,689,279,709,207,709,AMCUNT
363,690,399,690,399,709,363,709,TAX
13,732,65,732,65,753,13,753,SGST
230,728,275,728,275,750,230,750,60.00
373,728,411,728,411,751,373,751,4.58
15,759,66,759,66,777,15,777,CGST
230,757,274,757,274,775,230,775,60.00
374,754,411,754,411,777,374,777,4.58
211,817,275,817,275,838,211,838,Timaline
13,843,71,843,71,868,13,868,Amoun
222,843,260,843,260,862,222,862,Date
366,841,408,841,408,859,366,859,Mode
11,897,62,897,62,919,11,919,RS60
192,891,279,891,279,916,192,916,24-04-2022
354,890,391,890,391,912,354,912,card
167,939,328,939,328,963,167,963,Thariksforyourvisitat
189,963,304,963,304,986,189,986,Day Night Store
171,989,362,989,362,1011,171,1011,POSPawered ByReLOPS
201,1109,320,1109,320,1136,201,1136,341216.5591
